Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
4,2 Lombardia FM,Milano - Missaglia,RU10a,RU10a,,430.262500,DUP+,5.000000,FM,71.9,TONE,71.9Hz,YES,Approximate,45.437500,9.208333,--:--
4,2 Lombardia FM,M. Guglielmo (BS),RU11,RU11,,430.275000,DUP+,1.600000,FM,71.9,TONE,71.9Hz,YES,Approximate,45.770833,10.208333,--:--
4,2 Lombardia FM,Civo (SO),RU11,RU11,,430.275000,DUP+,5.000000,FM,71.9,TONE,71.9Hz,YES,Approximate,46.187500,9.625000,--:--
4,2 Lombardia FM,Cermeledo (SO),RU12,RU12,,430.300000,DUP+,5.000000,FM,88.5,OFF,88.5Hz,YES,Approximate,46.145833,9.625000,--:--
4,2 Lombardia FM,Magenta (MI),RU12a,RU12a,,430.312500,DUP+,1.600000,FM,71.9,TONE,71.9Hz,YES,Approximate,45.479167,8.875000,--:--
4,2 Lombardia FM,Roncola (BG),RU13,RU13,,430.325000,DUP+,1.600000,FM,71.9 ,TONE,71.9Hz,YES,Approximate,45.729167,9.541667,--:--
4,2 Lombardia FM,M.Penice (PV),RU19,RU19,,431.300000,DUP+,1.600000,FM,71.9,TONE,71.9Hz,YES,Approximate,44.770833,9.291667,--:--
4,2 Lombardia FM,Sacro Monte - Varese,RU29a,RU29a,,431.562500,DUP+,1.600000,FM,71.9,TONE,71.9Hz,YES,Approximate,45.854167,8.791667,--:--
4,2 Lombardia FM,Pigra - Valle d'Intelvi (CO),T,T,,433.512500,OFF,0.000000,FM,156.7,TONE,156.7Hz,YES,Approximate,45.937500,9.125000,--:--
4,2 Lombardia FM,Darfo (BS),T,T,,435.112500,OFF,0.000000,FM,71.9,TONE,71.9Hz,YES,Approximate,45.854167,10.208333,--:--
5,3 Veneto FM,Val di Zoldo (BL),RV,RV,,144.887500,DUP+,0.600000,FM,94.8,TONE,94.8Hz,YES,Approximate,46.354167,12.125000,--:--
5,3 Veneto FM,Monastier (TV),RV,RV,,144.950000,DUP+,0.600000,FM,131.8,TONE,131.8Hz,YES,Approximate,45.937500,12.041667,--:--
5,3 Veneto FM,M.Marmolada (BL),T,T,,145.287500,OFF,0.000000,FM,131.8,TONE,131.8Hz,YES,Approximate,46.437500,11.875000,--:--
5,3 Veneto FM,Gosaldo (BL),T,T,,145.350000,OFF,0.000000,FM,127.3,TONE,127.3Hz,YES,Approximate,46.229167,11.958333,--:--
5,3 Veneto FM,Selva di Cadore (BL),T,T,,145.375000,OFF,0.000000,FM,94.8,TONE,94.8Hz,YES,Approximate,46.437500,12.041667,--:--
5,3 Veneto FM,Cerealto (VI),RV,RV,,145.562500,DUP-,0.600000,FM,94.8,TONE,94.8Hz,YES,Approximate,45.604167,11.291667,--:--
5,3 Veneto FM,M.Grappa (VI),R0a,R0a,,145.612500,DUP-,0.600000,FM,,OFF,88.5Hz,YES,Approximate,45.854167,11.708333,--:--
5,3 Veneto FM,M.Tudaio - Laggio di Cadore (BL),R1,R1,,145.625000,DUP-,0.600000,FM,131.8,TONE,131.8Hz,YES,Approximate,46.520833,12.458333,--:--
5,3 Veneto FM,Venezia,R1,R1,,145.625000,DUP-,0.600000,FM,,OFF,88.5Hz,YES,Approximate,45.437500,12.375000,--:--
5,3 Veneto FM,Malga M. Corno - Lusiana (VI),R3,R3,,145.675000,DUP-,0.600000,FM,94.8,TONE,94.8Hz,YES,Approximate,45.770833,11.541667,--:--
5,3 Veneto FM,Bassano del Grappa (VI),R5,R5,,145.725000,DUP-,0.600000,FM, ,OFF,88.5Hz,YES,Approximate,45.770833,11.708333,--:--
5,3 Veneto FM,Bosco Chiesa Nuova (VR),R5,R5,,145.725000,DUP-,0.600000,FM,94.8 ,TONE,94.8Hz,YES,Approximate,45.604167,11.041667,--:--
5,3 Veneto FM,M.Pastelletto (VR),R7,R7,,145.775000,DUP-,0.600000,FM,94.8,TONE,94.8Hz,YES,Approximate,45.604167,10.875000,--:--
5,3 Veneto FM,M.Rite (BL),R7a,R7a,,145.787500,DUP-,0.600000,FM,131.8,TONE,131.8Hz,YES,Approximate,46.395833,12.208333,--:--
5,3 Veneto FM,Belluno ,RU1,RU1,,430.025000,DUP+,1.600000,FM,94.8,TONE,94.8Hz,YES,Approximate,46.145833,12.208333,--:--
5,3 Veneto FM,M.Grappa (VI),RU1,RU1,,430.025000,DUP+,1.600000,FM,,OFF,88.5Hz,YES,Approximate,45.812500,11.708333,--:--
5,3 Veneto FM,M.Baldo (VR),RU2,RU2,,430.050000,DUP+,5.025000,FM,94.8,TONE,94.8Hz,YES,Approximate,45.729167,10.875000,--:--
5,3 Veneto FM,M.Rite (BL),RU2a,RU2a,,430.062500,DUP+,1.600000,FM, ,OFF,88.5Hz,YES,Approximate,46.479167,12.291667,--:--
