;RU;430.787,5;+5.0 MHz;82.5;1 piemonte;AL;Mombaruzzo (AT);;;;;JN44FS;98;217;002;;iz1mlf ;;;;;;;;;;
;E;430.800,0;+5.0 MHz;71.9;1 piemonte;AL;M.Giarolo (AL);EL;IR2UGJ;157311;it-radio;JN44NR;84;185;002;;ik2bat;;;;;;;;;;
;RU;430.800,0;+5.0 MHz;;1 piemonte;TO;M.Fraiteve - Sestriere (TO);DMR;IZ1NHA;;BRANDMEISTER;JN34KX;191;254;002;;iz1nha;;;;;;;;;;
;RU;430.800,0;+5.0 MHz;;1 piemonte;TO;Ceresole Reale (TO);DMR;IZ1DSJ;;BRANDMEISTER;JN35OK;156;269;002;;iz1dsj;;;;;;;;;;
;RU;430.812,5;+5.0 MHz;;1 piemonte;TO;Pecetto Torinese (TO);DMR;IW1BEB;;;JN35UA;128;247;002;;iw1beb;;;;;;;;;;
;RU;430.962,5;+5.0 MHz;;1 piemonte;TO;Torino;DMR;I1YRB;;;JN35UA;128;247;002;;ik1jtd;;;;;;;;;;
;RU16a;431.237,5;+1.6 MHz;94.8;1 piemonte;TO;Celle-Villardora (TO);;;;Val Susa;JN35QD;148;256;002;;ik1ybm;;;;;;;;;;
;RU20;431.325,0;+1.6 MHz; ;1 piemonte;CN;Aradolo (CN);DMR;I1YYG;222138;BRANDMEISTER;JN34RH;189;227;002;;iz1bla  iu1dof  ik1vqo;;;;;;;;;;
;RU24;431.425,0;+1.6 MHz;82.5;1 piemonte;AL;Acqui Terme (AL);;IR1UGL;;;JN44FQ;106;214;002;;ari acqui terme iz1mlj;;;;;;;;;;
;RU25a;431.462,5;+1.6 MHz;82.5;1 piemonte;AL;Coniolo (AL);;;;;JN45ED;75;241;002;;ari casale monferrato;;;;;;;;;;
;RU0a rev;431.487,5;+1.6 MHz;;1 piemonte;BI;Oropa (BI);DS;IR1UHA;;;JN35XO;98;279;002;;rnre;;;;;;;;;;
;RU28;431.525,0;+1.6 MHz;67.0;1 piemonte;VCO;M.Mottarone (VCO);;;;;JN45FV;74;309;002;;ari domodossola iw1bzh;;;;;;;;;;
;RU;431.600,0;+6.350 MHz;131.8;1 piemonte;VCO;M.Mottarone (VCO);C4FM;IK1THA;;;JN45FV;74;309;002;;ik1tha;;;;;;;;;;
;T;435.212,5;0;110.9;1 piemonte;AL;Ovada (AL);;;;Valle Stura;JN44HO;107;205;002;;ik1hxm;;;;;;;;;;
;RM0;1.297.000,0;-6 MHz;;1 piemonte;TO;Aquila di Giaveno (TO);EL;IR1UHV;903078; ;JN35PA;158;252;002;;ik1evq iz1tmf iz1scr;;;;;;;;;;
;T;144.612,5;0;82.5;1 liguria;GE;Masone (GE);;;;Valle Stura;JN44IL;118;200;003;;ik1hxm;;;;;;;;;;
;E;144.625,0;0;110.9;1 liguria;SP;Brugnato -Val di Vara;EL;;813447;;JN44uf;144;164;003;;iz1zct;;;;;;;;;;
;T;144.675,0;0;162.2;1 liguria;GE;Pegli (GE);;IZ1FUM;;Pegli;JN44JK;120;196;003;;fmmontano iz1fum;;;;;;;;;;
;HotSpot;144.725,0;0;;1 liguria;SV;Cisano sul Neva (SV);C4FM;IZ1MKB;;WIRES-X;JN44BC;175;210;003;;iz1mkb;;;;;;;;;;
;T;145.212,5;0;82.5;1 liguria;GE;Rossiglione (GE);;;;Valle Stura;JN44IN;109;201;003;;ik1hxm;;;;;;;;;;
;T out;145.225,0;0;110.9;1 liguria;GE;M.Telegrafo - Busalla (GE);;;;Valle Scrivia;JN44KN;105;195;003;;ik1pkh;;;;;;;;;;
;T;145.312,5;0;110,9;1 liguria;GE;Cilona - Busalla (GE); ;IR1GFV;;RM5 M.Fasce;JN44LN;104;191;003;;i1gfv;;;;;;;;;;
;HotSpot;145.337,5;0; ;1 liguria;SP;La Spezia;C4FM;IR1DN; ;WIRES-X;JN44VC;160;163;003;;iz1rwc;;;;;;;;;;
;RV;145.362,5;-600 kHz;110.9;1 liguria;SV;M. Dubasso - Albenga (SV);EL;;345769;italynet;JN44CA;180;206;003;;iw1ggq;;;;;;;;;;
;T;145.425,0;0;110.9;1 liguria;SP;La Spezia;EL-SVX;IU1LIQ;456821;iq2aq-l;JN44VC;160;163;003;;iu1liq;;;;;;;;;;
;RV;145.437,5;-600 kHz;110.9;1 liguria;GE;M.Leco (GE);;;;sincrona Valle Scrivia ;JN44KN;105;195;003;;tlc vallescrivia;;;;;;;;;;
;T;145.437,5;0;110.9;1 liguria;GE;M.Maggio (GE);;;;M.Maggio;JN44MN;103;187;003;;tlc vallescrivia;;;;;;;;;;
;RV-1;145.575,0;-600 kHz;110.9;1 liguria;IM;Val Tanaro (IM); ;IR1DD;;;JN34XD;178;214;003;;era imperia;;;;;;;;;;
;RV-1a;145.587,5;-600 kHz;110.9;1 liguria;GE;M.Roveto-Busalla (GE);;;;sincrona Valle Scrivia ;JN44LO;99;192;003;;tlc vallescrivia;;;;;;;;;;
;R0;145.600,0;-600 kHz;110.9;1 liguria;IM;M.Faudo (IM);;;;Riviera;JN33WV;205;211;003;;ari imperia;;;;;;;;;;
;R0a;145.612,5;-600 kHz;162.2;1 liguria;SP;La Spezia;C4FM;IR1DO; ; ;JN44XE;155;157;003;;iz1rwc  iu1liq iw5cbl;;;;;;;;;;
;R1;145.625,0;-600 kHz;;1 liguria;GE;Genova;;;;;JN44LJ;122;189;003;;cisar genova ik1dlw;;;;;;;;;;
;R1;145.625,0;-600 kHz;162.2;1 liguria;IM;Poggio Sanremo (IM);C4FM;IR1BK;;WIRES-X;JN33VU;212;212;003;;ari sanremo ik1mvx;;;;;;;;;;
;R1a;145.637,5;-600 kHz;;1 liguria;GE;Lorsica (GE);;;;;JN44OK;116;180;003;;ik1ykt;;;;;;;;;;
;R1a;145.637,5;-600 kHz;110.9/162.2 loc;1 liguria;SV;Cosseria (SV);;;;Riviera ponente;JN44CI;148;213;003;;ari val bormida;;;;;;;;;;
;R2;145.650,0;-600 kHz;110.9;1 liguria;IM;M.Bignone (IM); ;IR1Y;; ;JN33UU;216;214;003;;ari sanremo ik1mvx;;;;;;;;;;
;R2a;145.662,5;-600 kHz;110.9/162.2 loc;1 liguria;SV;Bardineto (SV);;;;Riviera ponente;JN44EB;171;203;003;;ari loano;;;;;;;;;;
;R3;145.675,0;-600 kHz;162.2 tx;1 liguria;SV;M.Beigua (SV); ;IR1X;;;JN44GK;127;205;003;;ari savona iw1pv ;;;;;;;;;;
